W,FINAL_MARGIN,SHOT_NUMBER,PERIOD,SHOT_CLOCK,DRIBBLES,TOUCH_TIME,SHOT_DIST(ft),PTS_TYPE,CLOSE_DEF_DIST(ft)
L,-9,2,1,0.4,1,2.7,15.2,2,3.1
L,-10,6,4,11.1,0,0.8,20,2,7.3
L,-8,2,2,11.7,1,1.6,9.9,2,1.3
W,6,14,4,2.5,1,1.5,23.9,3,5.5
W,7,4,4,24,0,0,2.6,2,2.2
W,19,2,2,10.1,0,0.9,19.4,2,4.8
L,-12,4,2,11.7,3,3.2,7.9,2,2.7
W,6,7,3,13.7,2,2.1,9.7,2,2.2
L,-6,5,2,0.8,0,0.8,23.9,3,4.5
W,12,5,2,10,1,1.8,20.6,2,5.9
L,-1,18,4,10.2,0,0.6,13.4,2,1.7
L,-3,19,4,0,0,0.6,30.3,3,4.8
L,-10,9,3,5.6,2,5,9.4,2,3.4
L,-10,8,3,5.4,1,2.4,5.8,2,0.7
L,-21,6,2,4.6,3,6.4,8.7,2,3.5
L,-21,9,3,4.4,3,5.6,8.8,2,1.2
W,1,4,1,6,0,4.9,19.7,2,2.8
W,7,11,3,14.5,0,0.8,18.3,2,6.5
L,-7,1,1,18.9,1,2.7,4,2,0.4
L,-5,5,1,20.4,1,1.8,3.6,2,0.3
L,-7,13,4,10.6,0,0.8,24.5,3,4.5
L,-12,4,1,19.4,0,0.9,22.3,3,4.4
L,-1,9,3,16,0,0.9,24.4,3,3.8
L,-7,4,1,16,2,2.9,20.4,2,4.4
L,-8,7,2,14.2,4,3,14.4,2,3.3
L,-9,3,2,1.5,5,4,28.8,3,4.4
L,-9,6,3,8.8,2,1.8,3.5,2,3.3
W,8,6,2,12.3,1,1.2,4.6,2,1.8
L,-5,2,2,21,4,4.2,19.8,2,5.9
W,1,1,1,13.9,0,0.6,7.8,2,4.3
W,1,2,1,13.6,1,1.3,7,2,3.4
W,8,1,1,7.6,0,1.3,24.8,3,9.7
L,-6,10,4,11.6,0,0,19.9,2,5.7
W,17,3,1,10.5,3,5.1,6.4,2,5.5
L,-6,10,3,18,0,1.2,25.3,3,5.7
L,-4,1,1,0,0,0.9,17.1,2,6.6
L,-5,1,2,10.7,3,3.3,10.6,2,3.9
L,-4,3,2,18.3,0,0.8,2.4,2,1.4
W,17,2,2,12.9,0,1.5,24.5,3,5.3
L,-22,7,1,10,0,0.7,17.2,2,3
L,-6,1,1,14.1,0,1.4,3.2,2,0
L,-6,7,2,7.1,0,0.6,7,2,4.1
L,-10,13,7,16.7,0,1,25.8,3,9.5
L,-2,6,4,0,0,1.1,24.3,3,11.6
W,7,6,4,6.1,5,6,4.5,2,4
W,5,7,3,13.3,0,1.3,25.1,3,4.8
L,-2,2,1,0,4,5,13.6,2,4.7
L,-10,9,5,16,9,7.6,18.5,2,5.9
L,-3,1,1,16.6,7,5.8,0.7,2,2.7
W,13,2,1,20.7,2,1.9,4.4,2,2.4
W,2,13,4,6.3,0,0.9,24.9,3,8.7
L,-9,4,4,8.8,2,2.2,3.2,2,2.3
W,13,1,1,22.3,0,0.9,24.7,3,4.6
W,5,1,1,7.4,0,1.2,22.2,3,4.4
L,-8,3,1,8,0,0.7,23.2,3,3.7
L,-4,14,3,5.9,1,1.6,21,2,4.2
W,8,10,2,0.4,1,3.3,12,2,2.7
L,-9,1,2,15.6,1,2.6,16.9,2,3.3
L,-22,2,3,11.6,0,0.7,3.5,2,3.2
W,11,3,2,4.8,2,2.7,2.8,2,0.5
L,-5,6,2,18.3,7,6.9,11.9,2,3.6
L,-8,3,2,15.2,8,7.3,5.3,2,3
L,-28,3,1,6.7,2,3.6,19.3,2,6.2
W,13,10,3,13,0,0.7,5.2,2,2.3
W,10,3,4,14.8,0,0.6,4.4,2,2.1
W,14,3,1,9.3,0,0.8,6.5,2,2.2
W,4,3,1,14.3,0,0.7,4.8,2,2.6
L,-10,8,4,19.6,4,3.9,24.4,3,5.2
W,8,8,2,14.7,2,3.4,8.2,2,1.8
W,10,13,3,11.3,0,0.8,22.3,3,5.4
W,3,5,1,15.2,1,4.2,20.8,2,3.8
L,-22,1,1,9.3,0,0.8,22.8,3,4.9
L,-28,1,1,23.1,0,0.2,4.3,2,1.5
L,-28,9,2,12,0,0.7,17.2,2,4.7
W,3,11,4,21.3,0,1.1,2.8,2,1.6
W,7,5,4,13.7,0,1.2,24.3,3,5
W,8,5,1,6.4,0,0.8,5.5,2,1.8
W,3,6,4,14.7,1,1.9,7.4,2,1.7
L,-7,6,2,24,0,0.4,0.5,2,1.8
W,10,4,1,16,0,0.8,11.2,2,4.4
W,3,3,2,8,0,2.5,5,2,2.2
L,-6,3,1,16.2,1,2.8,15.2,2,4.4
W,15,1,1,18.1,0,0.8,22.5,3,9.2
W,12,4,4,16.1,0,0.6,22.7,3,4.3
W,12,10,3,19.3,1,0.9,23.2,3,5.6
W,5,11,4,9,2,2.5,14.7,2,4.9
W,2,7,2,16,0,0.8,25.7,3,8.2
W,16,1,1,20.6,2,2.6,14.4,2,3.5
W,6,8,3,3.6,4,4.4,10.8,2,2.9
