"shot_id","GAME_ID","MATCHUP","LOCATION","W","FINAL_MARGIN","SHOT_NUMBER","PERIOD","GAME_CLOCK","SHOT_CLOCK","DRIBBLES","TOUCH_TIME","SHOT_DIST(ft)","PTS_TYPE","CLOSEST_DEFENDER","CLOSEST_DEFENDER_PLAYER_ID","CLOSE_DEF_DIST(ft)","FGM","PTS","player_name","player_id"
"29178","21400417","DEC 23, 2014 - NOP @ IND","A","L","-12","3","1","4:48","11.6","2","1.4","9.5","2","Stuckey, Rodney","201155","1.9","0","0","tyreke evans","201936"
"29709","21400311","DEC 09, 2014 - NOP vs. NYK","H","W","11","3","1","7:33","8.5","0","0.7","23.9","3","Anthony, Carmelo","2546","4.8","0","0","luke babbitt","202337"
"30072","21400488","JAN 02, 2015 - NOP vs. HOU","H","W","28","5","2","3:15","1.3","0","0.8","8.4","2","Motiejunas, Donatas","202700","4.3","0","0","anthony davis","203076"
"30618","21400884","MAR 01, 2015 - NOP @ DEN","A","W","7","7","2","3:46","9.9","1","1.9","7.7","2","Chandler, Wilson","201163","3.1","0","0","dante cunningham","201967"
"32207","21400861","FEB 27, 2015 - TOR vs. GSW","H","L","-24","6","2","3:30","6","9","6.7","21","2","Green, Draymond","203110","5.1","0","0","terrence ross","203082"
"32564","21400281","DEC 05, 2014 - TOR vs. CLE","H","L","-14","6","3","4:49","7.4","0","0.8","11.1","2","Marion, Shawn","1890","2.7","0","0","terrence ross","203082"
"32585","21400261","DEC 02, 2014 - TOR @ SAC","A","W","8","10","2","6:00","17","0","1.1","22.8","3","Stauskas, Nik","203917","6.7","0","0","terrence ross","203082"
"32973","21400387","DEC 19, 2014 - TOR @ DET","A","W","10","4","1","6:25","19.7","0","0.5","1.6","2","Drummond, Andre","203083","2.8","0","0","amir johnson","101161"
"33464","21400374","DEC 17, 2014 - TOR vs. BKN","H","W","16","9","4","10:09","9.7","3","3","8.3","2","Bogdanovic, Bojan","202711","2.4","0","0","greivis vasquez","202349"
"33636","21400077","NOV 07, 2014 - TOR vs. WAS","H","W","19","2","4","10:24","9.7","2","2.5","5.9","2","Butler, Rasual","2446","2.2","0","0","greivis vasquez","202349"
"33937","21400592","JAN 16, 2015 - TOR vs. ATL","H","L","-21","4","3","2:31","9.5","3","4.2","7.5","2","Sefolosha, Thabo","200757","2.5","0","0","lou williams","101150"
"34725","21400833","FEB 23, 2015 - TOR @ NOP","A","L","-3","8","3","0:06","0","0","0.8","3","2","Cole, Norris","202708","2.5","0","0","jonas valanciunas","202685"
"34755","21400772","FEB 08, 2015 - TOR vs. SAS","H","W","5","5","3","7:20","10.9","1","1.2","2.2","2","Leonard, Kawhi","202695","2.2","0","0","jonas valanciunas","202685"
"35158","21400029","NOV 01, 2014 - TOR @ ORL","A","W","13","6","2","0:54","16.3","1","3.6","7.8","2","Vucevic, Nikola","202696","3","0","0","jonas valanciunas","202685"
"35345","21400553","JAN 10, 2015 - TOR vs. BOS","H","W","13","5","3","4:15","14.8","0","0.7","22.4","3","Olynyk, Kelly","203482","5.9","0","0","patrick patterson","202335"
"35742","21400741","FEB 04, 2015 - DAL @ GSW","A","L","-14","14","3","2:15","13.7","0","1.1","23.2","3","Iguodala, Andre","2738","7.1","0","0","mnta ellis","101145"
"36091","21400425","DEC 23, 2014 - DAL @ PHX","A","L","-9","4","2","2:41","12.6","13","10.6","20.9","2","Dragic, Goran","201609","3.8","0","0","mnta ellis","101145"
"36185","21400340","DEC 13, 2014 - DAL vs. GSW","H","L","-7","2","1","6:14","10","3","3.3","13.6","2","Thompson, Klay","202691","5.7","0","0","mnta ellis","101145"
"36351","21400227","NOV 28, 2014 - DAL @ TOR","A","W","4","6","2","8:48","16.3","2","4","5.2","2","Patterson, Patrick","202335","2.4","0","0","mnta ellis","101145"
"36898","21400137","NOV 15, 2014 - DAL vs. MIN","H","W","14","3","2","5:08","13.6","0","1","18.6","2","Bennett, Anthony","203461","10.4","0","0","tyson chandler","2199"
"36997","21400827","FEB 22, 2015 - DAL vs. CHA","H","W","11","3","4","11:29","18.4","8","5.1","1.3","2","Stephenson, Lance","202362","2","0","0","jose juan barea","200826"
"37335","21400120","NOV 13, 2014 - DAL vs. PHI","H","W","53","2","2","11:44","7.6","3","2.3","12.6","2","Thompson, Hollis","203138","5.6","0","0","jose juan barea","200826"
"37437","21400810","FEB 20, 2015 - DAL vs. HOU","H","W","11","16","4","11:05","17.6","0","0.9","24.9","3","Terry, Jason","1891","6.1","0","0","devin harris","2734"
"37506","21400706","JAN 31, 2015 - DAL @ ORL","A","W","15","8","3","4:51","12.6","5","4.2","21.6","2","Payton, Elfrid","203901","5.5","0","0","devin harris","2734"
"37907","21400797","FEB 11, 2015 - DAL vs. UTA","H","W","5","6","2","6:51","12.3","2","2.2","5.2","2","Gobert, Rudy","203497","2.8","0","0","charlie villanueva","101111"
"38005","21400529","JAN 07, 2015 - DAL vs. DET","H","L","-13","5","3","5:07","14.9","0","0.8","25","3","Monroe, Greg","202328","5.7","0","0","charlie villanueva","101111"
"38073","21400284","DEC 05, 2014 - DAL vs. PHX","H","L","-12","1","4","0:42","17.9","0","0.9","24.9","3","Tolliver, Anthony","201229","4.4","0","0","charlie villanueva","101111"
